;;;;;Outcome;Governance;;;Macroeconomic;;;Fiscal;;;;;;;;;;;Demograpy and Access;;;;;Geography and Location;;;;;
IDP;ID;Year;T;Nama;Corrupt;FinAudit;PolComm;YTElection;Resource;Industry;GDPCap;NRRev;GAF;SAF;GSExp;CapExp;GrantExp;SocAssExp;AdminFunc;InfraFunc;EduFunc;HealthFunc;Density;YearsSch;Povrate;Literacy;ElecAcces;Temperature;Rainfall;Elevation;Area;DistCapital;DistJKT
1100;1103;2011;2;Kab. Aceh Selatan;1;3;0,87;2;31,60;18,78;95,39;7,38;83,17;9,45;13,61;9,98;5,09;0,00;30,93;4,03;41,43;10,28;7,42;7,53;15,52;94,42;89,75;23;4082;575,40;3842;354;1469
1100;1103;2012;3;Kab. Aceh Selatan;0;3;0,87;1;31,44;18,72;98,44;6,12;84,99;8,89;11,22;12,21;4,59;0,34;24,53;5,83;42,44;12,34;7,58;7,56;14,80;93,27;95,39;23;4576;575,40;3842;354;1469
1100;1103;2013;4;Kab. Aceh Selatan;1;3;0,87;0;31,17;18,75;101,57;5,37;83,99;10,64;14,41;17,28;3,37;0,01;32,12;9,84;28,74;14,96;7,74;7,59;13,44;94,90;96,98;23;4486;575,40;3842;354;1469
1100;1103;2014;5;Kab. Aceh Selatan;1;3;0,87;4;30,59;18,87;104,23;4,06;86,55;9,39;17,85;23,28;0,23;0,40;17,70;15,05;36,51;13,93;7,88;7,60;12,79;95,64;97,22;23;4679;575,40;3842;354;1469
1100;1103;2015;6;Kab. Aceh Selatan;0;4;0,87;3;29,78;19,06;91,92;4,06;86,55;9,39;17,85;23,28;5,65;0,60;37,88;13,36;42,49;19,70;9,31;7,79;13,24;96,54;95,17;23;5681;575,40;3842;354;1469
1100;1103;2016;7;Kab. Aceh Selatan;1;4;0,87;2;29,00;19,55;94,62;1,54;66,28;32,18;18,86;24,47;4,39;0,55;28,62;17,89;25,77;14,80;9,47;8,02;13,48;96,90;98,04;23;4442;575,40;3842;354;1469
1100;1103;2017;8;Kab. Aceh Selatan;0;4;0,87;1;28,30;19,55;96,94;1,71;67,09;31,21;15,18;25,13;4,77;0,63;31,47;14,55;25,74;17,64;9,60;8,33;14,07;96,14;99,50;23;4908;575,40;3842;354;1469
1100;1103;2018;9;Kab. Aceh Selatan;0;4;0,87;0;27,97;19,61;17,24;1,60;65,74;32,66;19,28;16,99;5,22;1,30;35,17;7,40;26,09;21,14;56,46;8,38;14,01;94,95;99,25;23;4887;575,40;3842;354;1469
1100;1103;2019;10;Kab. Aceh Selatan;1;4;0,89;2;28,03;19,39;17,76;1,43;70,14;28,44;21,33;17,95;4,77;1,38;33,10;8,88;26,81;19,79;57,24;8,59;13,09;95,98;99,23;23;5084;575,40;3842;354;1469
1100;1103;2020;11;Kab. Aceh Selatan;1;4;0,89;1;28,94;19,78;18,30;1,65;74,07;24,28;22,81;12,66;5,10;1,86;33,72;6,02;27,50;21,65;55,52;8,87;12,87;97,77;99,87;23;4764;575,40;3842;354;1469
1100;1104;2010;1;Kab. Aceh Tenggara;1;3;0,71;2;44,30;6,53;78,99;10,26;80,75;8,99;15,05;18,87;0,00;7,53;35,57;12,86;30,19;8,81;7,08;8,38;16,78;97,95;93,03;20;3778;1151,87;4231;358;1465
1100;1104;2011;2;Kab. Aceh Tenggara;0;3;0,71;1;44,64;6,76;81,38;7,84;82,76;9,40;18,04;21,10;0,00;6,37;31,37;16,51;30,77;8,61;7,25;8,45;16,39;96,76;95,50;20;4040;1151,87;4231;358;1465
1100;1104;2012;3;Kab. Aceh Tenggara;0;3;0,71;0;44,79;6,68;83,71;6,40;86,13;7,47;13,36;11,71;2,12;6,67;30,79;8,22;35,95;11,54;7,37;8,57;15,63;96,77;94,32;20;4184;1151,87;4231;358;1465
1100;1104;2013;4;Kab. Aceh Tenggara;1;3;0,71;4;45,18;6,73;85,65;5,55;86,90;7,55;17,08;13,25;4,30;0,77;32,12;17,70;23,19;10,88;7,55;8,58;14,39;98,07;97,56;20;4192;1151,87;4231;358;1465
1100;1104;2014;5;Kab. Aceh Tenggara;0;3;0,71;3;44,24;7,23;87,03;4,40;87,70;7,90;21,46;22,30;2,02;2,31;26,11;12,39;30,29;13,36;7,72;8,77;13,75;98,80;96,06;20;3829;1151,87;4231;358;1465
